class,f1_score,precision,recall,support
0,0.97,0.96,0.99,980.0
1,0.98,0.97,0.99,1135.0
2,0.95,0.96,0.95,1032.0
3,0.95,0.97,0.92,1010.0
4,0.96,0.95,0.96,982.0
5,0.95,0.96,0.94,892.0
6,0.96,0.96,0.97,958.0
7,0.95,0.95,0.96,1028.0
8,0.94,0.94,0.94,974.0
9,0.94,0.95,0.93,1009.0
